countrycode,year,n_res,n
AFG,2016,1,1
AGO,2011,1,1
BDI,2011,1,1
BDI,2012,1,1
BGD,2014,0,1
BGD,2015,0,1
BGD,2016,0,1
COD,2010,0,1
COD,2012,0,1
EGY,2013,1,1
ETH,2010,1,1
GHA,2013,1,1
GMB,2007,1,1
GMB,2009,1,1
GMB,2011,1,1
GUY,2008,1,1
HND,2008,1,1
HTI,2012,0,1
HTI,2013,0,1
IDN,2014,1,1
IRQ,2012,0,1
JAM,2014,0,1
JOR,2012,1,1
JOR,2014,1,1
KEN,2012,0,1
KEN,2013,0,1
KGZ,2017,1,1
KHM,2010,1,1
KHM,2012,1,1
KIR,2016,1,1
LAO,2012,0,1
LBR,2011,0,1
LBR,2013,0,1
MAR,2011,0,1
MKD,2015,1,1
MKD,2016,1,1
MLI,2009,0,1
MLI,2015,0,1
MMR,2014,0,1
MMR,2015,0,1
MMR,2016,0,1
MWI,2010,1,1
MWI,2011,1,1
MWI,2012,1,1
NGA,2010,0,1
NIC,2008,1,1
NPL,2014,1,1
PAK,2013,0,1
PAK,2017,0,1
PHL,2013,1,1
PNG,2011,0,1
PNG,2012,0,1
PNG,2013,0,1
RWA,2015,1,1
RWA,2016,1,1
SDN,2015,1,1
SEN,2009,1,1
SLB,2017,1,1
SLE,2014,1,1
SSD,2016,0,1
SSD,2017,0,1
TJK,2016,0,1
TLS,2009,1,1
TLS,2011,1,1
TON,2009,1,1
TON,2014,1,1
TUV,2016,1,1
TZA,2013,1,1
UGA,2009,0,1
VUT,2010,1,1
YEM,2011,1,1
ZMB,2011,1,1
